Date,Open,High,Low,Close,Adj Close,Volume
2022-01-06,4090.000000,4120.000000,4030.000000,4120.000000,3814.105469,89197500
2022-01-07,4120.000000,4190.000000,4090.000000,4170.000000,3860.393311,68415100
2022-01-10,4180.000000,4190.000000,4100.000000,4100.000000,3795.590576,44921200
2022-01-11,4120.000000,4160.000000,4090.000000,4090.000000,3786.333008,61890200
2022-01-12,4110.000000,4140.000000,4070.000000,4110.000000,3804.848145,45132700
2022-01-13,4170.000000,4180.000000,4110.000000,4180.000000,3869.650635,84148400
2022-01-14,4140.000000,4190.000000,4130.000000,4190.000000,3878.908203,28193100
2022-01-17,4200.000000,4200.000000,4140.000000,4180.000000,3869.650635,39816300
2022-01-18,4200.000000,4250.000000,4160.000000,4250.000000,3934.453857,112212200
2022-01-19,4260.000000,4260.000000,4230.000000,4250.000000,3934.453857,88713900
2022-01-20,4300.000000,4300.000000,4190.000000,4220.000000,3906.680908,100014500
2022-01-21,4240.000000,4330.000000,4190.000000,4330.000000,4008.513672,75534800
2022-01-24,4260.000000,4310.000000,4250.000000,4300.000000,3980.741211,70404500
2022-01-25,4310.000000,4320.000000,4250.000000,4290.000000,3971.483643,116353600
2022-01-26,4380.000000,4390.000000,4290.000000,4390.000000,4064.058838,127641400
2022-01-27,4400.000000,4400.000000,4260.000000,4270.000000,3952.968506,98613900
2022-01-28,4260.000000,4300.000000,4230.000000,4260.000000,3943.711182,61686700
2022-01-31,4210.000000,4250.000000,4190.000000,4190.000000,3878.908203,88735900
2022-02-02,4170.000000,4200.000000,4150.000000,4170.000000,3860.393311,144006000
2022-02-03,4200.000000,4210.000000,4160.000000,4200.000000,3888.166016,58212400
2022-02-04,4260.000000,4260.000000,4180.000000,4230.000000,3915.938477,98728700
2022-02-07,4230.000000,4290.000000,4210.000000,4290.000000,3971.483643,90285800
2022-02-08,4280.000000,4280.000000,4230.000000,4230.000000,3915.938477,71210400
2022-02-09,4280.000000,4280.000000,4210.000000,4280.000000,3962.226318,95375000
2022-02-10,4400.000000,4470.000000,4340.000000,4460.000000,4128.861816,233984700
2022-02-11,4500.000000,4550.000000,4410.000000,4450.000000,4119.604004,130081900
2022-02-14,4380.000000,4400.000000,4310.000000,4400.000000,4073.316650,104903700
2022-02-15,4400.000000,4440.000000,4360.000000,4410.000000,4082.574219,75305900
2022-02-16,4420.000000,4460.000000,4380.000000,4400.000000,4073.316650,90121200
2022-02-17,4400.000000,4440.000000,4360.000000,4410.000000,4082.574219,72970200
2022-02-18,4420.000000,4440.000000,4370.000000,4400.000000,4073.316650,71111300
2022-02-21,4370.000000,4420.000000,4340.000000,4370.000000,4045.544189,58883000
2022-02-22,4320.000000,4360.000000,4250.000000,4300.000000,3980.741211,106985800
2022-02-23,4280.000000,4370.000000,4270.000000,4350.000000,4027.029053,110562400
2022-02-24,4280.000000,4320.000000,4200.000000,4240.000000,3925.195801,126158600
2022-02-25,4240.000000,4350.000000,4240.000000,4340.000000,4017.771484,208757000
2022-03-01,4640.000000,4650.000000,4350.000000,4350.000000,4027.029053,206416900
2022-03-02,4400.000000,4400.000000,4270.000000,4290.000000,3971.483643,152165300
2022-03-04,4440.000000,4440.000000,4300.000000,4400.000000,4073.316650,155369100
2022-03-07,4400.000000,4530.000000,4370.000000,4510.000000,4175.149414,177360400
2022-03-08,4600.000000,4700.000000,4540.000000,4620.000000,4276.982422,234086000
2022-03-09,4550.000000,4620.000000,4420.000000,4440.000000,4110.346680,145145900
2022-03-10,4500.000000,4500.000000,4380.000000,4410.000000,4082.574219,130830800
2022-03-11,4410.000000,4590.000000,4400.000000,4590.000000,4249.209961,143446200
2022-03-14,4650.000000,4670.000000,4540.000000,4580.000000,4239.952148,166572700
2022-03-15,4630.000000,4630.000000,4570.000000,4620.000000,4276.982422,231077800
2022-03-16,4660.000000,4660.000000,4550.000000,4630.000000,4286.240234,109961900
2022-03-17,4550.000000,4580.000000,4450.000000,4480.000000,4147.376953,246300800
2022-03-18,4490.000000,4540.000000,4470.000000,4540.000000,4202.922363,210266100
2022-03-21,4550.000000,4570.000000,4520.000000,4550.000000,4212.179688,79691600
2022-03-22,4550.000000,4580.000000,4540.000000,4550.000000,4212.179688,98699900
2022-03-23,4550.000000,4570.000000,4500.000000,4550.000000,4212.179688,78299500
2022-03-24,4500.000000,4570.000000,4500.000000,4560.000000,4221.437012,89578400
2022-03-25,4510.000000,4540.000000,4480.000000,4520.000000,4184.407227,90053700
2022-03-28,4510.000000,4600.000000,4500.000000,4600.000000,4258.467773,184131000
2022-03-29,4600.000000,4620.000000,4560.000000,4560.000000,4221.437012,77920800
2022-03-30,4620.000000,4620.000000,4560.000000,4580.000000,4239.952148,118749100
2022-03-31,4620.000000,4640.000000,4560.000000,4580.000000,4239.952148,108109700
2022-04-01,4550.000000,4580.000000,4530.000000,4580.000000,4239.952148,86590300
